textID,text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km�),Density (P/Km�)
0a61cbf4b5,I am sooo tired,negative,morning,0-20,Indonesia,273523615,1811570,151
ee9ec7a5a4," Hey, you change your twitter account, and you didn`t even tell me...",neutral,noon,21-30,Iran,83992949,1.63E+06,52
bbbc46889b, THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive,night,31-45,Iraq,40222493,434320,93
58d382e07a, lucky kid...i so wanna see loserville  pity im in oz....,positive,morning,46-60,Ireland,4937786,68890,72
cb4d439ebc,fell asleep waiting for my ride!,neutral,noon,60-70,Israel,8655535,21640,400
64ed512788,Sick. With a flu like thing.,negative,night,70-100,Italy,60461826,294140,206
4cd390c007,"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",negative,morning,0-20,Jamaica,2961167,10830,273
3d2fcd78c8,Happy Star Wars day everyone! and Enjoy the holiday (UK),positive,noon,21-30,Japan,126476461,364555,347
0c0563423e, Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,neutral,night,31-45,Jordan,10203134,88780,115
cd0d522bb1,"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",neutral,morning,46-60,Kazakhstan,18776707,2699700,7
bffa3ddd61,i miss you bby      wish you were going tomorrow to make me do good.,negative,noon,60-70,Kenya,53771296,569140,94
9339ee8e0b, Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,positive,night,70-100,Kiribati,119449,8.10E+02,147
a76f9cf8ce, SWEEEEET - San Fran is awesome!!!!  Love it there,positive,morning,0-20,Kuwait,4270571,17820,240
4ce121e2ad,_Mounce yes and it lasts way past my bedtime!,neutral,noon,21-30,Kyrgyzstan,6524195,191800,34
a3de81e1ba, Hi  how are you doing ???  *just joined twitter...*,neutral,night,31-45,Laos,7275560,230800,32
55bacda5eb,waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,negative,morning,46-60,Latvia,1886198,62200,30
b63ed6da62,eating ice cream and then getting ready for graduation.,neutral,noon,60-70,Lebanon,6825445,10230,667
4c41a35a2a,Happy Mothers day to all you Mums out there,positive,night,70-100,Lesotho,2142249,30360,71
61a8e11e8a," CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",negative,morning,0-20,Liberia,5057681,96320,53
447dc22c81, hemp cloth is marvelous but unfortunately no,negative,noon,21-30,Libya,6871292,1759540,4
3408db03a3,Gonna read a story bout adam lambert online then bed. Nighty night,neutral,night,31-45,Liechtenstein,38128,160,238
92e1b6846e, We saw that in none 3D - the baddie`s the best,positive,morning,46-60,Lithuania,2722289,6.27E+04,43
2207d982bc,4am. And Im on the beach. Pretty,positive,noon,60-70,Luxembourg,625978,2590,242
15e01e1749," Certainly not Cheers than, huh?",neutral,night,70-100,Madagascar,27691018,581795,48
ebcdf07ac5,"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!",negative,morning,0-20,Malawi,19129952,94280,203
fd9fb4f1ad,i realy wanted to go out cause its so nice but everybodys busy,negative,noon,21-30,Malaysia,32365999,328550,99
6b018d3d2d, Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,positive,night,31-45,Maldives,540544,300,1802
327a009a7d,at least I get to watch over time  Let`s go Pens!!,neutral,morning,46-60,Mali,20250833,1220190,17
d0d3c6f298, cool i wear black most of the time when i go out,neutral,noon,60-70,Malta,441543,320,1380
40649553ef, haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,positive,night,70-100,Marshall Islands,59190,180,329
561b44a42f, have a safe trip joshy poo.......you`ll knock them dead at your speech,positive,morning,0-20,Mauritania,4649658,1030700,5
a05aea73d7," woof, I wish I was allowed to go",positive,noon,21-30,Mauritius,1271768,2.03E+03,626
9c4817f73b,if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment,neutral,night,31-45,Mexico,128932753,1943950,66
f0c1601d8b,  has tickets.......?,neutral,morning,46-60,Micronesia,115023,700,164
d421fbd332,"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!",positive,noon,60-70,Moldova,4033963,32850,123
99b7ec4b0b, ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,neutral,night,70-100,Monaco,39242,1,26337
a655fbb5eb,"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",positive,morning,0-20,Mongolia,3278290,1553560,2
43e9a93104,So many tests todayyy  I don`t feel confident about anyy.,negative,noon,21-30,Montenegro,628066,13450,47
401869d615,graduation is done  im a little sad.. anyone want to hang out???,negative,night,31-45,Morocco,36910560,446300,83
9843c4688e, hahaa your awesomee !,positive,morning,46-60,Mozambique,31255435,786380,40
87fbf14655,holy smokes! star trek was freaking awesomeeeee,positive,noon,60-70,Myanmar (formerly Burma),54409800,653290,83
22d1806fa0,"I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.",neutral,night,70-100,Namibia,2540905,8.23E+05,3
9d2cffd953," I had it! On my itunes, but then I lost all my songs.",neutral,morning,0-20,Nauru,10824,20,541
f78761f7ec,What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,neutral,noon,21-30,Nepal,29136808,143350,203
66057d58c2,"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",negative,night,31-45,Netherlands,17134872,33720,508
af90ad5989," Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",negative,morning,46-60,New Zealand,4822233,263310,18
f0460d611d,not well,negative,noon,60-70,Nicaragua,6624554,120340,55
6649f3558c, Not a prob hun,positive,night,70-100,Niger,24206644,1266700,19
24532ab83c,"at dads, watching some mtv and am going on sims2 in a minutee",neutral,morning,0-20,Nigeria,206139589,910770,226
8e1583cb08, Absolutely,neutral,noon,21-30,North Korea,25778816,120410,214
4ea61dbc7a, what`s the matter chickadee?,neutral,night,31-45,North Macedonia,2083374,25220,83
94f67cfa6d, hey mia!  totally adore your music.  when will your cd be out?,positive,morning,46-60,Norway,5421241,3.65E+05,15
29dfaf5e3b,"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",positive,noon,60-70,Oman,5106626,309500,16
974b35f889, =O you need to ask him something? Lmao I love him too,positive,night,70-100,Pakistan,220892340,770880,287
b495300bbf, those splinters look very painful...but you were being very heroic saving mr. Pickle,negative,morning,0-20,Palau,18094,460,39
504539e6ec, why are you sad?,negative,noon,21-30,Palestine State,5101414,6020,847
6903cb08f2, Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,positive,night,31-45,Panama,4314767,74340,58
1996048e7a,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,positive,morning,46-60,Papua New Guinea,8947024,452860,20
c6d0c7676c, Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,neutral,noon,60-70,Paraguay,7132538,397300,18
ef74bab7f3," Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",neutral,night,70-100,Peru,32971854,1280000,26
f3cf8ec01b,Humous and Dorito`s.... Oh yes,neutral,morning,0-20,Philippines,109581078,298170,368
cb1b0d191d,"missed all the awesome weather, because she was in a movie!",negative,noon,21-30,Poland,37846611,3.06E+05,124
3e67a75303,Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,neutral,night,31-45,Portugal,10196709,91590,111
997a62f83f,"These kids are terrible! If I was in Good Evans, I`d call Childline",negative,morning,46-60,Qatar,2881053,11610,248
7e1757d4f0,"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!",negative,noon,60-70,Romania,19237691,230170,84
254546cd2c," What`s sad is that I actually had to google that term. That sucks, tho.",negative,night,70-100,Russia,145934462,16376870,9
7e4ed52c4a,Hate fighting,negative,morning,0-20,Rwanda,12952218,24670,525
5069ae7a15," I watched that too!!! I didnt want her to win, but she put up a good fight..lol",neutral,noon,21-30,Saint Kitts and Nevis,53199,260,205
48cdcd5f28,Car-warmed Sprite tastes like sore throat,negative,night,31-45,Saint Lucia,183627,610,301
1b1b02af59,Just came 11th in cross country and beat dumbo,neutral,morning,46-60,Saint Vincent and the Grenadines,110940,390,284
ae71041e21,Candle wax is very enjoyable.,positive,noon,60-70,Samoa,198414,2830,70
11c10e3fc5," She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",positive,night,70-100,San Marino,33931,6.00E+01,566
19526ac03e,tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,neutral,morning,0-20,Sao Tome and Principe,219159,960,228
960bbdc0c3,goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,positive,noon,21-30,Saudi Arabia,34813871,2149690,16
fd285fe74a, me too. I hate my computer so much..,negative,night,31-45,Senegal,16743927,192530,87
a5a1c996c0, fine! Going to do my big walk today 20 or so miles,positive,morning,46-60,Serbia,8737371,87460,100
20ec7c7c32,I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,negative,noon,60-70,Seychelles,98347,460,214
b948984e8d,Mmmmmmmm... ? it in the morning,neutral,night,70-100,Sierra Leone,7976983,72180,111
6824c44c21, me neither,neutral,morning,0-20,Singapore,5850342,700,8358
02d140362f,"Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah",neutral,noon,21-30,Slovakia,5459642,48088,114
5f93cc70ff,Bugger. forgot I still have washing in my machine,negative,night,31-45,Slovenia,2078938,20140,103
4e6a5c0034,"_Laurie sending love, blessings & healing thoughts to you & family  peace",positive,morning,46-60,Solomon Islands,686884,2.80E+04,25
e4e9b8713a,My back hurts...really bad,negative,noon,60-70,Somalia,15893222,627340,25
08975f62a8," ah yes, I know that feeling",neutral,night,70-100,South Africa,59308690,1213090,49
4a1ce7dc3b,Night of the cookers with my dad,neutral,morning,0-20,South Korea,51269185,97230,527
328a0e76bd,My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,negative,noon,21-30,South Sudan,11193725,610952,18
abbd0db2a5, Nope I am in Coquitlam,neutral,night,31-45,Spain,46754778,498800,94
940eb93dd5, Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol,negative,morning,46-60,Sri Lanka,21413249,62710,341
c78bf59e67,  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,positive,noon,60-70,Sudan,43849260,1765048,25
e73425ffdc,Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.,neutral,night,70-100,Suriname,586632,156000,4
e56eeb4968,Few Bevvies 2day in twn..great on a day off!!,positive,morning,0-20,Sweden,10099265,410340,25
7162d447ab,first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!,positive,noon,21-30,Switzerland,8654622,3.95E+04,219
f3d95b57b1, good morning,positive,night,31-45,Syria,17500658,183630,95
5e4eac2b2e, its the best show EVER!,positive,morning,46-60,Tajikistan,9537645,139960,68
bc02870b7d,URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,negative,noon,60-70,Tanzania,59734218,885800,67
80e45e833f,i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,neutral,night,70-100,Thailand,69799978,510890,137
f29df52d91, I want to know when the auditions are Mander! Text or...reply please!,neutral,morning,0-20,Timor-Leste,1318445,14870,89
079e4e3472,or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,negative,noon,21-30,Togo,8278724,54390,152
557e676fe4, I miss my neice  can`t wait to see her bad n grown ****! Lol,negative,night,31-45,Tonga,105695,720,147
8d09044937,i need to get my computer fixed,neutral,morning,46-60,Trinidad and Tobago,1399488,5130,273
9d3a1e0269,really hopes her car`s illness is not terminal...,negative,noon,60-70,Tunisia,11818619,155360,76
7ff2dbbe25,"All the cool people I want to find for following today are #English, and I guess the English don`t tweet.",neutral,night,70-100,Turkey,84339067,7.70E+05,110
5a254fbb98, no sir...i woulda put honey...but i don`t have any,neutral,morning,0-20,Turkmenistan,6031200,469930,13
417176c08e,who watched X-men origins: wolverine? i totally loved it! haha,positive,noon,21-30,Tuvalu,11792,30,393
2bf5c7dba7, I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,positive,night,31-45,Uganda,45741007,199810,229
8407ac30b0, I`m sad that I missed you guys last night!,negative,morning,46-60,Ukraine,43733762,579320,75
6ed347b1a5,Finally got a call for marriage counseling 3 days late....,neutral,noon,60-70,United Arab Emirates,9890402,83600,118
97625460cf, ok then,neutral,night,70-100,United Kingdom,67886011,241930,281
32e4ffe225,_420 why baby?,neutral,morning,0-20,United States of America,331002651,9147420,36
24ee55f264,today was the last day of high school for me and i ended up going home sick! ... stupid dead rats,negative,noon,21-30,Uruguay,3473730,175020,20
82b75647fd,We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,neutral,night,31-45,Uzbekistan,33469203,425400,79
a0a306868a,lost my tooth 2day whilst i was eating gum...oww,negative,morning,46-60,Vanuatu,307145,1.22E+04,25
9b11b686ec,happy 1 year! <3,positive,noon,60-70,Venezuela,28435940,882050,32
7e7bc11e45,"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",positive,night,70-100,Vietnam,97338579,310070,314
28dbada620, *phew*  Will make a note in case anyone else runs into the same issueï¿½,neutral,morning,0-20,Yemen,29825964,527970,56
3e880ec28d,  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,negative,noon,21-30,Zambia,18383955,743390,25
38271074d1,I`m starving!! This diet is killing me but I can`t eat after 8pm,negative,night,31-45,Zimbabwe,14862924,386850,38
ef12a3d183, i talk to you,neutral,morning,46-60,Afghanistan,38928346,652860,60
f0db54f5bf,im soo bored...im deffo missing my music channels,negative,noon,60-70,Albania,2877797,27400,105
e651d415c6, nite nite bday girl  have fun at concert,positive,night,70-100,Algeria,43851044,2381740,18
931a866d3f,"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",neutral,morning,0-20,Andorra,77265,470,164
7a718b23ef,_Sanderson What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,neutral,noon,21-30,Angola,32866272,1246700,26
a6fccce9db,should be sleeping.  lost my voice a couple day ago.,negative,night,31-45,Antigua and Barbuda,97929,440,223
c017d0c221,http://twitpic.com/66xlm -  hate when my PARKED car gets hit,negative,morning,46-60,Argentina,45195774,2736690,17
287755c5dd, I`ve heard this fall. I`m waiting too!,neutral,noon,60-70,Armenia,2963243,28470,104
58c435d2cf, more nightmares?  *huggles*,neutral,night,70-100,Australia,25499884,7682300,3
e6ee6826df,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,negative,morning,0-20,Austria,9006398,8.24E+04,109
01b2476dd7,going to bed its late and I have headache,negative,noon,21-30,Azerbaijan,10139177,82658,123
e02cf4af4c,happy mother`s day to all moms out there...,positive,night,31-45,Bahamas,393244,10010,39
2dc0dc0d5d,Grabbing coffee from  then making mom breakfast,neutral,morning,46-60,Bahrain,1701575,760,2239
1b13ed8b4b,im thinking that im going to have fun tonight....and maybe some changes are coming,positive,noon,60-70,Bangladesh,164689383,130170,1265
b6b35af246, thanks. before the major chop.,neutral,night,70-100,Barbados,287375,430,668
375e74d063," Haha I know, I cant handle the fame!  and thank you!",positive,morning,0-20,Belarus,9449323,202910,47
4700be3234,just got up and updated my ipod,neutral,noon,21-30,Belgium,11589623,30280,383
e5c6a6bb5a, yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,positive,night,31-45,Belize,397628,22810,17
4f84bea1cc, We never miss ICarly - my son has a huge crush on Miranda,positive,morning,46-60,Benin,12123200,112760,108
4c73ad2888,Saw James carville in the store today. His head is really that bald,neutral,noon,60-70,Bhutan,771608,3.81E+04,20
2dcd8766a8,yellow for   ? http://blip.fm/~5z05g,neutral,night,70-100,Bolivia,11673021,1083300,11
234093bef1, which means you`re just going to have to come back to vancouver and have it our way! hahah,neutral,morning,0-20,Bosnia and Herzegovina,3280819,51000,64
ca832cad51,Feeling smooth like chrome,positive,noon,21-30,Botswana,2351627,566730,4
a8734230b6,Ew traffic,negative,night,31-45,Brazil,212559417,8358140,25
0b5c2a7d7c,"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",neutral,morning,46-60,Brunei,437479,5270,83
e70d294d95,@_Ra_Ra_ your not alone...i need coffee too.,neutral,noon,60-70,Bulgaria,6948445,108560,64
f84b89a828, Sounds like me,neutral,night,70-100,Burkina Faso,20903273,273600,76
ee37bea884,Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,neutral,morning,0-20,Burundi,11890784,25680,463
242d92151a,Walking to class. I hate not having a bike....especially mine.,negative,noon,21-30,C�te d'Ivoire,26378274,318000,83
f3a77c2b5e,_nesmith,neutral,night,31-45,Cabo Verde,555987,4.03E+03,138
1d6411e9dd,"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",negative,morning,46-60,Cambodia,16718965,176520,95
151c10cc39,"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",positive,noon,60-70,Cameroon,26545863,472710,56
7b1927e748,happy mother`s day to all the mothers in the world.,positive,night,70-100,Canada,37742154,9093510,4
9a6f4d05d5,"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc",positive,morning,0-20,Central African Republic,4829767,622980,8
0cb4504f2c,Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!,positive,noon,21-30,Chad,16425864,1259200,13
ae21c1ac38,The exception for a short dude: Larenz fineass Tate yum,neutral,night,31-45,Chile,19116201,743532,26
